name,latitude,longitude
Montet,48.6817583,6.1853456
Montet,48.6817517,6.1853175
Clemenceau,48.6749111,6.1820576
Clemenceau,48.6748933,6.1820183
Bouguignon,48.6746222,6.173618
Bouguignon,48.6746379,6.1736012
Bouguignon,48.6746153,6.173596
Bouguignon,48.6746303,6.1735828
Haussonville,48.6683224,6.1640687
Haussonville,48.6683467,6.164048
Buthegnémont,48.6927982,6.1489889
Buthegnémont,48.6928469,6.1489836
Beauregard,48.690122,6.1400773
Buffon,48.701647,6.1540441
Buffon,48.7016832,6.1540393
Alfred Mézières,48.7005282,6.1711918
Alfred Mézières,48.7005408,6.1711913
Alfred Mézières,48.7005532,6.1711908
Alfred Mézières,48.7005653,6.1711903
3 Maisons,48.7021722,6.1772152
3 Maisons,48.7022041,6.1772112
Braconnot,48.6988291,6.1797218
Braconnot,48.6988628,6.1797164
Saint-Georges,48.6964755,6.1934134
Saint-Georges,48.6964954,6.1934124
Saint-Georges,48.6965158,6.1934114
Hôtel de Ville,48.6929439,6.1835995
Hôtel de Ville,48.692981,6.1835941
Hôtel de Ville,48.6930148,6.1835891
Hôtel de Ville,48.6930517,6.1835837
Hôtel de Ville,48.6930854,6.1835788
Martiny,48.6900069,6.1963447
Martiny,48.6900326,6.1963427
Charles III,48.686775,6.1881208
Charles III,48.6867962,6.1881331
Émile Gallé,48.6815834,6.191388
Émile Gallé,48.6816073,6.1913497
Émile Gallé,48.6816321,6.1913055
Marcel Leroy,48.6827536,6.1713309
Marcel Leroy,48.6827762,6.1713286
Didion,48.6886771,6.1788067
Poincaré,48.6907878,6.1776886
Poincaré,48.69084,6.1776927
Charlemagne,48.6845647,6.1622381
Charlemagne,48.6845868,6.1622408
Charlemagne,48.6845324,6.1620665
Charlemagne,48.6845527,6.1620691
Charlemagne,48.6845735,6.1620718
